date,neu_mean,neg_mean,pos_mean,comp_mean,pol_mean,qtd_day,bt_close,bt_open,bt_high,bt_low,bt_volumeto,bt_target
2021-01-01,0.854263,0.045843,0.09988300000000001,0.1828517,0.06766783851284154,1000,28972.4,28972.4,29666.33,28748.21,1487306218.52,1
2021-01-02,0.8654780000000001,0.044039,0.09048199999999999,0.1556578,0.06312477166691377,1000,29388.94,29388.94,33257.29,29036.26,3750440817.91,1
2021-01-03,0.862065,0.041362,0.096569,0.16926429999999998,0.0632003716602996,1000,32203.64,32203.64,34789.34,32010.59,3132759314.54,1
2021-01-04,0.8643699999999999,0.040225000000000004,0.09539700000000001,0.2025574,0.06194630194773535,1000,33063.48,33063.48,33622.7,28493.29,3901979149.92,-1
2021-01-05,0.864378,0.036116,0.09950800000000001,0.2160358,0.059948569023789054,1000,32030.55,32030.55,34487.44,29985.29,3037657026.2,1
2021-01-06,0.8731140000000001,0.046777,0.08009999999999999,0.1035992,0.06121141805251697,1000,34038.29,34038.29,36973.76,33404.2,3788317475.74,1
2021-01-07,0.8587560000000001,0.042515,0.098729,0.19943639999999999,0.06478783400454131,1000,36849.86,36849.86,40365.87,36340.01,4753170180.55,1
2021-01-08,0.8479000000000001,0.047052,0.105058,0.1819732,0.07030781617999524,1000,39479.41,39479.41,41964.96,36640.51,4705592327.36,1
2021-01-09,0.866936,0.04344800000000001,0.089633,0.15421060000000003,0.06240492435697684,1000,40636.24,40636.24,41400.48,38783.61,2241901362.12,-1
2021-01-10,0.8570099999999999,0.04658799999999999,0.09638900000000002,0.16349030000000003,0.06701172085538469,1000,40236.66,40236.66,41427.88,35283.65,3983391028.78,-1
2021-01-11,0.8529629999999999,0.050319,0.096708,0.1365926,0.06975851096461277,1000,38202.08,38202.08,38266.42,30308.4,8100819368.26,-1
2021-01-12,0.838124,0.045744,0.116118,0.17839050000000004,0.07288142281816402,1000,35496.03,35496.03,36620.28,32522.98,3999535589.05,-1
2021-01-13,0.85946,0.052431,0.088108,0.10944620000000001,0.0679675698256161,1000,34058.4,34058.4,37809.67,32405.89,3198683391.78,1
2021-01-14,0.8395060000000001,0.05053,0.109961,0.1703442,0.07454078970603947,1000,37380.85,37380.85,40093.43,36751.89,2895085049.06,1
2021-01-15,0.864777,0.041663,0.09356199999999999,0.16256720000000002,0.06243455458317933,1000,39155.58,39155.58,39695.43,34396.19,3288447634.87,-1
2021-01-16,0.8580129999999999,0.052817,0.08917200000000002,0.1002961,0.0686279645917027,1000,36790.17,36790.17,37942.44,35395.88,1995053500.31,-1
2021-01-17,0.856692,0.047242,0.096058,0.16392520000000002,0.06736447161523647,1000,36025.26,36025.26,36860.67,33854.83,1806688237.48,-1
2021-01-18,0.8549739999999999,0.05336,0.09167099999999999,0.13961540000000003,0.0699397209030748,1000,35839.51,35839.51,37429.24,34784.4,1554686784.02,1
2021-01-19,0.880771,0.025025,0.094207,0.1821044,0.048554404280147435,1000,36623.04,36623.04,37867.53,35917.28,1787957383.29,-1
2021-01-20,0.857398,0.03951,0.103086,0.2024709,0.06381949435713197,1000,35932.79,35932.79,36409.96,33519.59,2316775667.92,-1
2021-01-21,0.8410430000000001,0.055304,0.10366,0.16718860000000002,0.07571533952905449,1000,35501.38,35501.38,35619.6,30067.14,4042427455.09,-1
2021-01-22,0.863667,0.039855,0.09648000000000001,0.18327859999999999,0.062009760522033955,1000,30840.3,30840.3,33857.39,28817.3,3418228006.19,1
2021-01-23,0.859249,0.043396000000000004,0.097355,0.17465219999999998,0.06499859675408386,1000,33008.02,33008.02,33484.73,31430.15,1287618530.17,-1
2021-01-24,0.848595,0.050188,0.101232,0.1732984,0.07127854948019074,1000,32107.29,32107.29,33090.99,30957.56,1079875602.62,1
2021-01-25,0.8521579999999999,0.046049,0.10180100000000002,0.17330259999999997,0.06846776065419403,1000,32283.66,32283.66,34881.18,31937.09,1989618039.07,-1
2021-01-26,0.86036,0.039361,0.100272,0.197034,0.06282361173953627,1000,32275.27,32275.27,32943.69,30853.17,1909630282.43,1
2021-01-27,0.846973,0.04877,0.104275,0.1801037,0.07131263387366926,1000,32516.52,32516.52,32580.05,29236.73,3149650799.32,-1
2021-01-28,0.856437,0.044641999999999994,0.098932,0.1813304,0.06645692096388456,1000,30423.05,30423.05,33880.92,29905.53,2463162479.45,1
2021-01-29,0.8564700000000001,0.040982,0.102545,0.18570499999999998,0.06482668578602488,1000,33443.87,33443.87,38631.5,31996.08,6015929349.68,1
2021-01-30,0.848379,0.043588,0.108021,0.20115629999999998,0.06861792293562959,1000,34252.08,34252.08,34906.15,32858.0,1574213551.44,1
2021-01-31,0.8635309999999999,0.039084,0.09737299999999999,0.1978943,0.061690569230636864,1000,34317.82,34317.82,34381.7,32214.08,1176981986.93,-1
2021-02-01,0.862587,0.030734,0.106678,0.2449694,0.05725942413262641,1000,33143.22,33143.22,34714.34,32340.24,1623291067.04,1
2021-02-02,0.8476480000000001,0.042679,0.109671,0.22417009999999998,0.06841526590608268,1000,33535.94,33535.94,36004.47,33459.48,1789698965.07,1
2021-02-03,0.866885,0.035007,0.098113,0.19227589999999997,0.05860581704063173,1000,35524.43,35524.43,37704.8,35413.72,2340630205.42,1
2021-02-04,0.866238,0.039699,0.094064,0.1876803,0.06110848333905858,1000,37677.34,37677.34,38741.89,36199.19,2767003411.51,-1
2021-02-05,0.8588989999999999,0.05018,0.09092700000000001,0.1329007,0.06754788568119656,1000,36983.42,36983.42,38343.92,36626.5,1705038314.0,1
2021-02-06,0.8593780000000001,0.047553,0.09306800000000001,0.16708689999999998,0.06652565372846779,1000,38310.24,38310.24,40989.11,38247.96,2642530408.41,1
2021-02-07,0.8633500000000001,0.038222,0.098429,0.19844920000000002,0.06133639407399167,1000,39267.01,39267.01,39721.59,37408.16,2076904733.5,-1
